tconst,startYear,runtimeMinutes
tt10919380,2020,102.0
tt10928202,2022,131.0
tt10930586,2020,118.0
tt10931784,2022,99.0
tt10933680,2020,97.0
tt10935560,2022,86.0
tt10935956,2022,175.0
tt10937434,2020,108.0
tt10944596,2021,117.0
tt10944760,2021,108.0
tt10948718,2020,114.0
tt10950320,2023,116.0
tt10952782,2020,104.0
tt10954600,2023,124.0
tt10954652,2021,108.0
tt10954718,2025,89.0
tt10954984,2022,130.0
tt10962368,2021,121.0
tt10964430,2020,142.0
tt10964468,2020,127.0
tt10978398,2020,121.0
tt10986222,2021,109.0
tt10993078,2024,96.0
tt10993566,2020,98.0
tt10994688,2020,98.0
tt10999120,2022,127.0
tt11001074,2024,139.0
tt11003218,2021,92.0
tt11012066,2021,93.0
tt11015214,2020,90.0
tt11024272,2020,101.0
tt11027830,2021,135.0
tt11032374,2020,117.0
tt11040844,2023,112.0
tt11044858,2020,90.0
tt11045422,2021,163.0
tt11046300,2019,120.0
tt11054164,2019,88.0
tt11057302,2024,116.0
tt11057594,2020,89.0
tt11057644,2020,112.0
tt11068094,2023,121.0
tt11075264,2022,148.0
tt11080108,2021,98.0
tt11081050,2020,108.0
tt11083552,2021,119.0
tt11084896,2021,88.0
tt11087960,2021,72.0
tt11092020,2025,104.0
tt11095742,2020,109.0
tt11097384,2024,107.0
tt11100856,2020,90.0
tt11107074,2019,104.0
tt11112526,2020,119.0
tt11112784,2022,99.0
tt11112808,2022,139.0
tt11116912,2022,101.0
tt11121664,2021,117.0
tt11123012,2021,115.0
tt11125620,2021,93.0
tt11127680,2021,92.0
tt11127690,2020,94.0
tt11128440,2022,100.0
tt11131464,2021,97.0
tt11138512,2022,137.0
tt11140488,2020,85.0
tt11142762,2021,114.0
tt11143108,2020,151.0
tt11145118,2023,116.0
tt11152168,2024,104.0
tt11160650,2021,86.0
tt11161474,2020,126.0
tt11188624,2021,92.0
tt11196036,2021,111.0
tt11198810,2022,129.0
tt11199356,2020,150.0
tt11199410,2020,96.0
tt11204094,2020,95.0
tt11209212,2021,92.0
tt11210390,2023,112.0
tt11212572,2022,96.0
tt11213372,2021,96.0
tt11213600,2021,139.0
tt11214558,2025,123.0
tt11214590,2021,158.0
tt1121948,2024,126.0
tt11225626,2022,86.0
tt11229134,2020,155.0
tt11233960,2021,112.0
tt11235142,2020,137.0
tt11235772,2021,116.0
