tconst,startYear,runtimeMinutes,budget,production_companies,original_language,origin_country,top_3_cast,director,keywords,genres,certification_us,release_date,profitable
tt21235248,2024,115.0,100000000.0,"[84042, 5]",en,['US'],"[{'id': 1172108, 'popularity': 6.8143}, {'id': 22226, 'popularity': 5.0036}, {'id': 1308445, 'popularity': 3.8759}]","[{'id': 57193, 'popularity': 0.5824}]","[242, 6152, 3093, 9663, 10809, 162846, 179431, 191881, 231398, 323404, 373370, 373371, 373372, 373373, 373374]","[14, 12, 35]",PG-13,2024-03-20,0
tt6257174,2018,91.0,900000.0,"[56403, 40486]",en,"['US', 'GB']","[{'id': 56734, 'popularity': 5.0762}, {'id': 1535218, 'popularity': 0.7279}, {'id': 1560185, 'popularity': 0.4553}]","[{'id': 1285174, 'popularity': 0.3944}]","[1013, 186, 2754, 10683, 11001, 158718, 161217, 163037, 187056, 197758, 210608, 236377, 238832, 246466, 296608]",[18],NR,2018-07-18,0
tt2321405,2016,70.0,8000000.0,"[4621, 7034, 42171, 77154, 13668, 12431, 109756, 591, 92773]",fr,['FR'],"[{'id': 1615534, 'popularity': 0.0286}, {'id': 1615535, 'popularity': 0.0951}, {'id': 1615537, 'popularity': 0.1615}]","[{'id': 588869, 'popularity': 0.2334}]","[6783, 9727, 10121, 15090, 33457, 161919]","[16, 35, 18]",PG-13,2016-09-22,0
tt27688034,2023,129.0,20000000.0,"[147142, 199265, 223561, 223562, 103323, 7036]",ko,['KR'],"[{'id': 85008, 'popularity': 1.339}, {'id': 1470219, 'popularity': 1.255}, {'id': 1304595, 'popularity': 1.2507}]","[{'id': 84969, 'popularity': 0.6318}]","[305, 1533, 10349, 9882, 9743, 14626, 15354, 179431]","[18, 12, 878]",,2023-08-02,0
tt4120176,2016,102.0,2100000.0,"[94, 48663, 51696, 109756]",fr,['FR'],"[{'id': 17882, 'popularity': 2.0849}, {'id': 55805, 'popularity': 0.5346}, {'id': 1186111, 'popularity': 0.1737}]","[{'id': 222686, 'popularity': 0.9111}]","[490, 41525, 286925]",[18],PG-13,2016-04-06,0
tt7278824,2019,123.0,8000000.0,"[86177, 112442, 127815, 155990, 11797, 11924, 115736]",la,"['BE', 'IT']","[{'id': 1395660, 'popularity': 1.2644}, {'id': 1880993, 'popularity': 0.3254}, {'id': 70312, 'popularity': 0.429}]","[{'id': 1108174, 'popularity': 0.2522}]","[588, 131, 768, 3035]","[36, 18]",,2019-01-31,0
tt6998518,2018,121.0,6000000.0,"[34519, 12142, 19037, 108869, 22309, 12352]",en,['US'],"[{'id': 2963, 'popularity': 12.2869}, {'id': 127558, 'popularity': 2.3015}, {'id': 3900, 'popularity': 2.0563}]","[{'id': 1044250, 'popularity': 0.4256}]","[10084, 3030, 1930, 5857, 10123, 5498, 9887, 6410, 9748, 9872, 9826, 10580, 11321, 12394, 13209, 14735, 34079, 156019, 159028, 162766, 176342, 202371, 206576, 208251, 208289, 210162, 232766, 234555, 241827, 281237, 284439, 307886, 321464, 322255, 325801, 325842]","[14, 28, 27]",NR,2018-09-13,0
tt11083552,2021,119.0,40000000.0,"[14, 2900]",en,['US'],"[{'id': 976, 'popularity': 15.3075}, {'id': 7497, 'popularity': 2.6393}, {'id': 1629429, 'popularity': 0.2776}]","[{'id': 956, 'popularity': 3.2447}]","[642, 2803, 9730, 9714, 9748, 10950, 12548, 12670, 14604, 41180, 162380, 191045, 240119, 251667, 268293, 325761, 325762, 325763, 325764, 325766, 325785, 325804]","[53, 80, 18]",R,2021-04-22,1
tt4846340,2016,127.0,25000000.0,"[711, 83024, 7076]",en,['US'],"[{'id': 40036, 'popularity': 3.0892}, {'id': 6944, 'popularity': 3.1488}, {'id': 1005852, 'popularity': 2.2801}]","[{'id': 1141683, 'popularity': 0.6192}]","[1432, 6009, 4411, 5565, 6984, 12425, 12995, 14760, 156836, 186782, 208992, 229169, 251436, 325768, 325771, 325774, 325780, 325789, 325800, 325819]","[18, 36]",PG,2016-12-10,1
tt4257926,2016,109.0,16000000.0,"[5, 10156, 16314, 61377, 34]",en,['US'],"[{'id': 9278, 'popularity': 3.3444}, {'id': 1164259, 'popularity': 1.7706}, {'id': 26291, 'popularity': 2.2553}]","[{'id': 437833, 'popularity': 0.3174}]","[818, 970, 6157, 186, 2618, 9672, 10226, 11612, 187056, 189150, 207819, 211349, 221057]","[10751, 18]",PG,2016-03-17,1
tt5672290,2024,119.0,30000000.0,"[423, 127928]",en,['US'],"[{'id': 1472584, 'popularity': 0.9192}, {'id': 202032, 'popularity': 1.724}, {'id': 27396, 'popularity': 1.6308}]","[{'id': 1706480, 'popularity': 0.2362}]","[588, 745, 530, 131, 1228, 3099, 4084, 4087, 8685, 9675, 10093, 11322, 14765, 193282, 200234, 239680, 314730]",[27],R,2024-04-03,0
tt10409498,2019,117.0,5000000.0,"[703, 591, 726, 104, 10611]",fr,['FR'],"[{'id': 81125, 'popularity': 0.5154}, {'id': 983929, 'popularity': 0.7208}, {'id': 579211, 'popularity': 0.3616}]","[{'id': 18175, 'popularity': 0.3468}]",[],"[18, 80]",,2019-12-04,0
tt4560436,2018,94.0,35000000.0,"[47729, 8537, 20153, 103673, 3393, 96082, 8536]",en,['US'],"[{'id': 13240, 'popularity': 6.5983}, {'id': 62220, 'popularity': 4.3394}, {'id': 113732, 'popularity': 2.1431}]","[{'id': 36602, 'popularity': 1.3223}]","[779, 591, 11665, 167444, 175056, 181659, 190981, 202371, 221233, 246148, 266307, 325843]","[28, 53]",R,2018-08-16,0
tt1262426,2024,160.0,150000000.0,"[33, 2527]",en,['US'],"[{'id': 1765068, 'popularity': 2.4087}, {'id': 226001, 'popularity': 2.9586}, {'id': 1620, 'popularity': 3.1436}]","[{'id': 54507, 'popularity': 2.1645}]","[616, 246, 818, 3205, 3616, 4896, 4344, 5248, 6733, 10181, 6562, 9675, 10229, 12990, 156024, 170135, 170362, 177912, 180466, 186782, 196630, 196785, 240462, 241738, 250819, 266753, 293198, 309974, 323305, 324713, 325834]","[18, 10749, 14]",PG,2024-10-16,1
